dept,firm_count
01,41144.0
02,29168.0
03,21748.0
04,15428.0
05,15436.0
06,100726.0
07,22876.0
08,16028.0
09,11190.0
10,21804.0
11,27764.0
12,23780.0
13,160338.0
14,51200.0
15,11602.0
16,25020.0
17,52926.0
18,18902.0
19,17660.0
21,39444.0
22,42022.0
23,8262.0
24,31366.0
25,34532.0
26,41202.0
27,34760.0
28,26046.0
29,59068.0
2A,18252.0
2B,19008.0
30,53534.0
31,98728.0
32,15768.0
33,126700.0
34,94458.0
35,75366.0
36,15016.0
37,40300.0
38,85914.0
39,19424.0
40,32214.0
41,21992.0
42,50942.0
43,17136.0
44,96020.0
45,40834.0
46,13612.0
47,25122.0
48,7120.0
49,53436.0
50,34054.0
51,43616.0
52,11956.0
53,21590.0
54,40604.0
55,11338.0
56,54274.0
57,56892.0
58,13618.0
59,141398.0
60,45468.0
61,19692.0
62,76842.0
63,43972.0
64,56702.0
65,17808.0
66,36820.0
67,82228.0
68,48328.0
69,153478.0
70,14112.0
71,37876.0
72,32756.0
73,43380.0
74,64166.0
75,376004.0
76,74774.0
77,84448.0
78,83828.0
79,23546.0
80,34466.0
81,27096.0
82,17626.0
83,87466.0
84,49834.0
85,50234.0
86,26206.0
87,22788.0
88,24818.0
89,22150.0
90,7630.0
91,72160.0
92,119092.0
93,104600.0
94,83032.0
95,72436.0
971,29164.0
972,26434.0
973,13432.0
974,58126.0
976,6444.0
